"Household ID","Consumption (KWh)","Timestamp"
1,2.73,1704063600
2,5.05,1704063600
3,1.79,1704063600
4,8.74,1704063600
5,8.39,1704063600
1,1.37,1704064500
2,5.5,1704064500
3,7.63,1704064500
4,7.32,1704064500
5,5.28,1704064500
1,4.15,1704065400
2,5.08,1704065400
3,3.54,1704065400
4,6.43,1704065400
5,1.22,1704065400
1,3.41,1704066300
2,2.14,1704066300
3,0.46,1704066300
4,5.66,1704066300
5,7.66,1704066300
1,3.59,1704067200
2,1.84,1704067200
3,1.62,1704067200
4,4.61,1704067200
5,2.4,1704067200
1,1.21,1704068100
2,4.92,1704068100
3,8.39,1704068100
4,7.18,1704068100
5,2.92,1704068100
1,1.91,1704069000
2,0.36,1704069000
3,5.03,1704069000
4,6.75,1704069000
5,7.08,1704069000
1,6.96,1704069900
2,4.66,1704069900
3,3.27,1704069900
4,7.82,1704069900
5,1.76,1704069900
1,8.97,1704070800
2,0.31,1704070800
3,7.2,1704070800
4,1.36,1704070800
5,0.18,1704070800
1,1.7,1704071700
2,8.41,1704071700
3,6.29,1704071700
4,7.11,1704071700
5,0.72,1704071700
1,4.98,1704072600
2,6.06,1704072600
3,7.74,1704072600
4,2.2,1704072600
5,4.08,1704072600
1,7.46,1704073500
2,8.4,1704073500
3,0.46,1704073500
4,0.07,1704073500
5,3.29,1704073500
1,1.42,1704074400
2,3.21,1704074400
3,3.32,1704074400
4,3.52,1704074400
5,3.7,1704074400
1,7.23,1704075300
2,7.98,1704075300
3,5.05,1704075300
4,6.73,1704075300
5,3.21,1704075300
1,6.59,1704076200
2,3.03,1704076200
3,0.64,1704076200
4,2.44,1704076200
5,5.33,1704076200
1,3.3,1704077100
2,2.05,1704077100
3,0.59,1704077100
4,5.95,1704077100
5,7.36,1704077100
1,5,1704078000
2,8.65,1704078000
3,2.33,1704078000
4,1.3,1704078000
5,6.25,1704078000
1,0.83,1704078900
2,2.13,1704078900
3,2.21,1704078900
4,0.76,1704078900
5,0.34,1704078900
1,3.24,1704079800
2,4.14,1704079800
3,2.49,1704079800
4,8.26,1704079800
5,0.57,1704079800
1,0.02,1704080700
2,4.97,1704080700
3,6.81,1704080700
4,8.78,1704080700
5,7.05,1704080700
1,3.68,1704081600
2,3.94,1704081600
3,6.74,1704081600
4,6.99,1704081600
5,3.97,1704081600
1,8.63,1704082500
2,2.53,1704082500
3,3.19,1704082500
4,4.63,1704082500
5,1.45,1704082500
1,1.3,1704083400
2,7.7,1704083400
3,0.05,1704083400
4,6.07,1704083400
5,5.72,1704083400
1,3.68,1704084300
2,1.36,1704084300
3,4.41,1704084300
4,1.88,1704084300
5,2.01,1704084300
1,8.03,1704085200
2,4.54,1704085200
3,6.01,1704085200
4,3.37,1704085200
5,2.66,1704085200
1,0.06,1704086100
2,4.08,1704086100
3,2.94,1704086100
4,4.85,1704086100
5,0.02,1704086100
1,8.79,1704087000
2,0.26,1704087000
3,5.6,1704087000
4,7.57,1704087000
5,4.5,1704087000
1,6.69,1704087900
2,8.11,1704087900
3,8.71,1704087900
4,3.95,1704087900
5,6.88,1704087900
1,6.94,1704088800
2,7.2,1704088800
3,2.51,1704088800
4,3.38,1704088800
5,4.8,1704088800
1,1.4,1704089700
2,8.45,1704089700
3,6.71,1704089700
4,2.66,1704089700
5,7.07,1704089700
1,3.89,1704090600
2,3.28,1704090600
3,6,1704090600
4,4.91,1704090600
5,7.95,1704090600
1,1.36,1704091500
2,7.51,1704091500
3,0.17,1704091500
4,7.78,1704091500
5,6.93,1704091500
1,1.32,1704092400
2,4.02,1704092400
3,8.2,1704092400
4,4.46,1704092400
5,6.11,1704092400
1,3.25,1704093300
2,8.26,1704093300
3,5.18,1704093300
4,7.68,1704093300
5,8.99,1704093300
1,3.3,1704094200
2,3.21,1704094200
3,4.67,1704094200
4,6.04,1704094200
5,2.73,1704094200
1,0.98,1704095100
2,8.06,1704095100
3,5.04,1704095100
4,7.46,1704095100
5,0.1,1704095100
1,6.86,1704096000
2,7.55,1704096000
3,5.38,1704096000
4,5.74,1704096000
5,2.94,1704096000
1,2.18,1704096900
2,2.61,1704096900
3,4.2,1704096900
4,1.74,1704096900
5,1.07,1704096900
1,4.6,1704097800
2,2.26,1704097800
3,1.5,1704097800
4,1.67,1704097800
5,3.98,1704097800
1,7.87,1704098700
2,3.95,1704098700
3,0.91,1704098700
4,4.4,1704098700
5,3.72,1704098700
1,7.54,1704099600
2,4.3,1704099600
3,8.93,1704099600
4,0.55,1704099600
5,0.22,1704099600
1,0.82,1704100500
2,4.73,1704100500
3,8.98,1704100500
4,0.5,1704100500
5,5.99,1704100500
1,6.57,1704101400
2,7.92,1704101400
3,5.87,1704101400
4,4.05,1704101400
5,0.43,1704101400
1,1.51,1704102300
2,5.72,1704102300
3,0.33,1704102300
4,6.9,1704102300
5,3.67,1704102300
1,3.72,1704103200
2,4.13,1704103200
3,8.04,1704103200
4,6.71,1704103200
5,8.52,1704103200
1,5.53,1704104100
2,8.85,1704104100
3,3.65,1704104100
4,0.51,1704104100
5,7.53,1704104100
1,0.99,1704105000
2,7.76,1704105000
3,6.31,1704105000
4,5.93,1704105000
5,3.42,1704105000
1,1.21,1704105900
2,3.28,1704105900
3,5.75,1704105900
4,6.9,1704105900
5,2.44,1704105900
1,4.73,1704106800
2,5.41,1704106800
3,4.71,1704106800
4,3.67,1704106800
5,3.63,1704106800
1,2.1,1704107700
2,3.4,1704107700
3,3.92,1704107700
4,2.82,1704107700
5,7.14,1704107700
1,1.07,1704108600
2,5.28,1704108600
3,6.1,1704108600
4,8.84,1704108600
5,1.95,1704108600
1,8.54,1704109500
2,8.14,1704109500
3,6.98,1704109500
4,4.33,1704109500
5,4.84,1704109500
1,2.89,1704110400
2,1.31,1704110400
3,5.56,1704110400
4,4.87,1704110400
5,6.95,1704110400
1,3.77,1704111300
2,2.29,1704111300
3,7.69,1704111300
4,2.17,1704111300
5,8.38,1704111300
1,4.68,1704112200
2,6.11,1704112200
3,0.85,1704112200
4,4.09,1704112200
5,0.61,1704112200
1,6.07,1704113100
2,3.07,1704113100
3,4.12,1704113100
4,1.42,1704113100
5,1.36,1704113100
1,2.56,1704114000
2,8.99,1704114000
3,0.94,1704114000
4,3.2,1704114000
5,6.75,1704114000
1,3.22,1704114900
2,2.63,1704114900
3,6.24,1704114900
4,1.43,1704114900
5,2.72,1704114900
1,3.65,1704115800
2,1.9,1704115800
3,1.27,1704115800
4,3.04,1704115800
5,5.4,1704115800
1,0.21,1704116700
2,7.37,1704116700
3,6.2,1704116700
4,2.46,1704116700
5,2.97,1704116700
1,8.79,1704117600
2,7.39,1704117600
3,4.14,1704117600
4,1.88,1704117600
5,4.1,1704117600
1,5.35,1704118500
2,8.52,1704118500
3,3.65,1704118500
4,4.34,1704118500
5,2.76,1704118500
1,3.46,1704119400
2,3.47,1704119400
3,3.22,1704119400
4,0.95,1704119400
5,0.62,1704119400
1,6.84,1704120300
2,0.51,1704120300
3,5.91,1704120300
4,7.98,1704120300
5,5.56,1704120300
1,1.28,1704121200
2,2.21,1704121200
3,6.64,1704121200
4,8.41,1704121200
5,2.02,1704121200
1,8.43,1704122100
2,0.21,1704122100
3,3.64,1704122100
4,4.85,1704122100
5,1.79,1704122100
1,1.16,1704123000
2,8.51,1704123000
3,7.68,1704123000
4,0.11,1704123000
5,0.61,1704123000
1,2.94,1704123900
2,2.56,1704123900
3,7.67,1704123900
4,3.48,1704123900
5,4.07,1704123900
1,6.02,1704124800
2,4.9,1704124800
3,0.83,1704124800
4,3.92,1704124800
5,6.78,1704124800
1,5.98,1704125700
2,3.52,1704125700
3,5.15,1704125700
4,5.52,1704125700
5,7.62,1704125700
1,2.7,1704126600
2,5.1,1704126600
3,1.15,1704126600
4,1.6,1704126600
5,8.63,1704126600
1,3.61,1704127500
2,6.37,1704127500
3,0.9,1704127500
4,4,1704127500
5,4.17,1704127500
1,0.97,1704128400
2,7.13,1704128400
3,7.18,1704128400
4,4.45,1704128400
5,1.73,1704128400
1,3.31,1704129300
2,0.65,1704129300
3,5.19,1704129300
4,0.8,1704129300
5,4.57,1704129300
1,3.47,1704130200
2,1.46,1704130200
3,3.55,1704130200
4,6.7,1704130200
5,2.6,1704130200
1,5.96,1704131100
2,5.72,1704131100
3,8.55,1704131100
4,4.68,1704131100
5,2.67,1704131100
1,3.53,1704132000
2,3.53,1704132000
3,6.96,1704132000
4,0.44,1704132000
5,4.76,1704132000
1,1.78,1704132900
2,1.82,1704132900
3,0.58,1704132900
4,4.19,1704132900
5,6.21,1704132900
1,2.04,1704133800
2,0.18,1704133800
3,2,1704133800
4,4.85,1704133800
5,4.55,1704133800
1,7.12,1704134700
2,0.92,1704134700
3,0.43,1704134700
4,2.17,1704134700
5,1.58,1704134700
1,4.65,1704135600
2,3.21,1704135600
3,4.58,1704135600
4,6.79,1704135600
5,5.92,1704135600
1,6.67,1704136500
2,5.57,1704136500
3,0.92,1704136500
4,8.62,1704136500
5,6.25,1704136500
1,4.78,1704137400
2,5.38,1704137400
3,7.22,1704137400
4,4.24,1704137400
5,1.26,1704137400
1,3.08,1704138300
2,7.55,1704138300
3,8.9,1704138300
4,0.3,1704138300
5,6.12,1704138300
1,8.53,1704139200
2,2,1704139200
3,8.39,1704139200
4,5.23,1704139200
5,8.28,1704139200
1,1.61,1704140100
2,0.76,1704140100
3,7.96,1704140100
4,2.14,1704140100
5,0.78,1704140100
1,8.93,1704141000
2,3.25,1704141000
3,4.51,1704141000
4,7.1,1704141000
5,0.49,1704141000
1,7.02,1704141900
2,1.67,1704141900
3,2.44,1704141900
4,5.41,1704141900
5,0.36,1704141900
1,6.4,1704142800
2,7.43,1704142800
3,2.45,1704142800
4,4.82,1704142800
5,3.6,1704142800
1,6.37,1704143700
2,4.2,1704143700
3,2.32,1704143700
4,5.02,1704143700
5,1.1,1704143700
1,1.74,1704144600
2,0.01,1704144600
3,1.5,1704144600
4,8.84,1704144600
5,8.68,1704144600
